,geo.name,Year,LifeExp,GDP_PPP,Mortality_U5
114,Solomon Islands,2012,62.19,2016.0,27.6
115,Tonga,2012,70.04,5129.0,17.5
116,Vanuatu,2012,63.34,2899.0,29.3
117,Australia,2013,82.53,42920.0,4.2
118,Fiji,2013,65.46,7978.0,23.4
119,Kiribati,2013,61.21,1831.0,58.8
120,New Zealand,2013,81.46,33841.0,5.9
121,Papua New Guinea,2013,59.75,2467.0,59.5
122,Samoa,2013,71.59,5490.0,18.4
123,Solomon Islands,2013,62.38,2033.0,27.2
124,Tonga,2013,70.11,4950.0,17.4
125,Vanuatu,2013,63.48,2890.0,29.1
126,Australia,2014,82.58,43396.0,4.0
127,Fiji,2014,65.46,8354.0,23.0
128,Kiribati,2014,61.42,1842.0,57.4
129,New Zealand,2014,81.52,34469.0,5.7
130,Papua New Guinea,2014,60.12,2621.0,57.9
131,Samoa,2014,71.64,5511.0,18.1
132,Solomon Islands,2014,62.42,2021.0,26.8
133,Tonga,2014,70.19,5031.0,17.1
134,Vanuatu,2014,63.51,2892.0,28.7
135,Australia,2015,82.56,43832.0,3.8
136,Fiji,2015,65.46,8756.0,22.5
137,Kiribati,2015,61.65,1874.0,55.9
138,New Zealand,2015,81.48,34646.0,5.6
139,Papua New Guinea,2015,60.49,2749.0,56.2
140,Samoa,2015,71.72,5559.0,17.7
141,Solomon Islands,2015,62.8,2053.0,26.3
142,Tonga,2015,70.29,5189.0,16.8
143,Vanuatu,2015,63.64,2807.0,28.2
144,Australia,2016,82.53,44414.0,3.7
145,Fiji,2016,65.47,8863.0,22.0
146,Kiribati,2016,61.88,1898.0,54.3
147,New Zealand,2016,81.47,35269.0,5.4
148,Papua New Guinea,2016,60.84,2761.0,54.3
149,Samoa,2016,71.95,5882.0,17.3
150,Solomon Islands,2016,63.08,2073.0,25.8
151,Tonga,2016,70.41,5332.0,16.4
152,Vanuatu,2016,63.95,2856.0,27.6
153,Australia,2017,82.7,45105.0,3.52
154,Fiji,2017,65.61,9147.0,21.105
155,Kiribati,2017,62.06,1898.0,53.642
156,New Zealand,2017,81.62,35873.0,5.439
157,Papua New Guinea,2017,60.99,2781.0,54.234
158,Samoa,2017,72.17,5892.0,17.029
159,Solomon Islands,2017,63.33,2090.0,24.311
160,Tonga,2017,70.56,5409.0,16.303
161,Vanuatu,2017,64.13,2890.0,26.698
162,Australia,2018,82.87,45783.0,3.398
163,Fiji,2018,65.75,9422.0,20.462
164,Kiribati,2018,62.23,1888.0,52.532
165,New Zealand,2018,81.77,36354.0,5.346
166,Papua New Guinea,2018,61.14,2804.0,53.261
167,Samoa,2018,72.38,5950.0,16.726
168,Solomon Islands,2018,63.57,2106.0,23.444
169,Tonga,2018,70.7,5499.0,16.058
170,Vanuatu,2018,64.3,2896.0,26.014
171,Australia,2019,83.04,46423.0,3.291
172,Fiji,2019,65.89,9700.0,19.865
173,Kiribati,2019,62.4,1882.0,51.463
174,New Zealand,2019,81.92,36841.0,5.24
175,Papua New Guinea,2019,61.28,2828.0,52.314
176,Samoa,2019,72.59,6028.0,16.43
177,Solomon Islands,2019,63.8,2122.0,22.634
178,Tonga,2019,70.84,5522.0,15.817
179,Vanuatu,2019,64.47,2902.0,25.362
180,Australia,2020,83.21,47135.0,3.2
181,Fiji,2020,66.02,10000.0,19.313
182,Kiribati,2020,62.57,1882.0,50.445
183,New Zealand,2020,82.08,37388.0,5.117
184,Papua New Guinea,2020,61.42,2848.0,51.398
185,Samoa,2020,72.8,6086.0,16.135
186,Solomon Islands,2020,64.03,2139.0,21.867
187,Tonga,2020,70.98,5594.0,15.579
188,Vanuatu,2020,64.64,2929.0,24.734
189,Australia,2021,83.37,47877.0,3.12
190,Fiji,2021,66.15,10304.0,18.805
191,Kiribati,2021,62.73,1885.0,49.477
192,New Zealand,2021,82.24,37960.0,4.983
193,Papua New Guinea,2021,61.56,2871.0,50.518
194,Samoa,2021,73.02,6149.0,15.84
195,Solomon Islands,2021,64.26,2157.0,21.132
196,Tonga,2021,71.12,5670.0,15.345
197,Vanuatu,2021,64.81,2958.0,24.126
198,Australia,2022,83.52,48668.0,3.051
199,Fiji,2022,66.28,10607.0,18.329
200,Kiribati,2022,62.88,1892.0,48.548
201,New Zealand,2022,82.4,38572.0,4.845
202,Papua New Guinea,2022,61.7,2899.0,49.665
203,Samoa,2022,73.24,6221.0,15.549
204,Solomon Islands,2022,64.48,2179.0,20.434
205,Tonga,2022,71.26,5753.0,15.111
206,Vanuatu,2022,64.98,2992.0,23.537
207,Australia,2023,83.67,49521.0,2.986
208,Fiji,2023,66.41,10905.0,17.876
209,Kiribati,2023,63.03,1906.0,47.647
210,New Zealand,2023,82.56,39235.0,4.708
211,Papua New Guinea,2023,61.83,2934.0,48.834
212,Samoa,2023,73.46,6306.0,15.266
213,Solomon Islands,2023,64.7,2206.0,19.775
214,Tonga,2023,71.4,5845.0,14.881
215,Vanuatu,2023,65.15,3032.0,22.963
216,Australia,2024,83.81,50444.0,2.924
217,Fiji,2024,66.54,11196.0,17.438
218,Kiribati,2024,63.18,1926.0,46.771
219,New Zealand,2024,82.72,39956.0,4.575
220,Papua New Guinea,2024,61.96,2976.0,48.022
221,Samoa,2024,73.67,6405.0,14.991
222,Solomon Islands,2024,64.91,2239.0,19.146
223,Tonga,2024,71.54,5947.0,14.653
224,Vanuatu,2024,65.31,3079.0,22.403
225,Australia,2025,83.95,51437.0,2.865
226,Fiji,2025,66.67,11480.0,17.009
227,Kiribati,2025,63.33,1953.0,45.919
228,New Zealand,2025,82.88,40736.0,4.449
229,Papua New Guinea,2025,62.09,3026.0,47.223
230,Samoa,2025,73.88,6518.0,14.722
231,Solomon Islands,2025,65.12,2277.0,18.544
232,Tonga,2025,71.68,6059.0,14.427
233,Vanuatu,2025,65.47,3133.0,21.853
234,Australia,2026,84.08,52496.0,2.806
235,Fiji,2026,66.8,11758.0,16.583
236,Kiribati,2026,63.48,1986.0,45.09
237,New Zealand,2026,83.04,41570.0,4.328
238,Papua New Guinea,2026,62.22,3083.0,46.43
239,Samoa,2026,74.09,6643.0,14.463
240,Solomon Islands,2026,65.32,2320.0,17.97
241,Tonga,2026,71.82,6181.0,14.204
242,Vanuatu,2026,65.63,3193.0,21.315
243,Australia,2027,84.21,53611.0,2.749
244,Fiji,2027,66.93,12032.0,16.16
245,Kiribati,2027,63.62,2024.0,44.279
246,New Zealand,2027,83.2,42450.0,4.213
247,Papua New Guinea,2027,62.35,3145.0,45.64
248,Samoa,2027,74.3,6779.0,14.212
249,Solomon Islands,2027,65.52,2367.0,17.426
250,Tonga,2027,71.96,6310.0,13.983
251,Vanuatu,2027,65.79,3258.0,20.789
252,Australia,2028,84.34,54773.0,2.693
253,Fiji,2028,67.06,12306.0,15.739
254,Kiribati,2028,63.76,2066.0,43.49
255,New Zealand,2028,83.36,43369.0,4.101
256,Papua New Guinea,2028,62.47,3211.0,44.85
257,Samoa,2028,74.5,6923.0,13.969
258,Solomon Islands,2028,65.71,2417.0,16.911
259,Tonga,2028,72.1,6446.0,13.765
260,Vanuatu,2028,65.95,3327.0,20.279
261,Australia,2029,84.47,55974.0,2.639
262,Fiji,2029,67.19,12582.0,15.324
263,Kiribati,2029,63.9,2110.0,42.717
264,New Zealand,2029,83.52,44320.0,3.994
265,Papua New Guinea,2029,62.59,3281.0,44.061
266,Samoa,2029,74.7,7074.0,13.734
267,Solomon Islands,2029,65.9,2469.0,16.425
268,Tonga,2029,72.24,6587.0,13.552
269,Vanuatu,2029,66.11,3399.0,19.786
270,Australia,2030,84.6,57209.0,2.586
271,Fiji,2030,67.32,12862.0,14.922
272,Kiribati,2030,64.04,2156.0,41.965
273,New Zealand,2030,83.67,45298.0,3.89
274,Papua New Guinea,2030,62.71,3353.0,43.275
275,Samoa,2030,74.9,7230.0,13.506
276,Solomon Islands,2030,66.09,2523.0,15.965
277,Tonga,2030,72.38,6732.0,13.343
278,Vanuatu,2030,66.27,3474.0,19.313
